Part,Site,Locatie,Datum,x_index,y_index,freq,average power
mow,blok,Muziekbos,20220617,1,18,1.25-2.5,0.023509458995365596
mow,blok,Muziekbos,20220617,2,15,1.25-2.5,0.002113407266723526
mow,blok,Muziekbos,20220617,2,16,1.25-2.5,0.002611141182603814
mow,blok,Muziekbos,20220617,2,17,1.25-2.5,0.009523398081461588
mow,blok,Muziekbos,20220617,2,18,1.25-2.5,0.008519933451583615
mow,blok,Muziekbos,20220617,3,13,1.25-2.5,0.0010411233446259043
mow,blok,Muziekbos,20220617,3,14,1.25-2.5,0.0009774530878711692
mow,blok,Muziekbos,20220617,3,15,1.25-2.5,0.003568768162271638
mow,blok,Muziekbos,20220617,3,16,1.25-2.5,0.003393784786437775
mow,blok,Muziekbos,20220617,3,17,1.25-2.5,0.006401726779959975
mow,blok,Muziekbos,20220617,3,18,1.25-2.5,0.002597395048274861
mow,blok,Muziekbos,20220617,3,19,1.25-2.5,0.006599391857227245
mow,blok,Muziekbos,20220617,4,11,1.25-2.5,0.0030829740793277055
mow,blok,Muziekbos,20220617,4,12,1.25-2.5,0.0025062300747646874
mow,blok,Muziekbos,20220617,4,13,1.25-2.5,0.001803401005573762
mow,blok,Muziekbos,20220617,4,14,1.25-2.5,0.005563486083682045
mow,blok,Muziekbos,20220617,4,15,1.25-2.5,0.004788345156849681
mow,blok,Muziekbos,20220617,4,16,1.25-2.5,0.0052290353574952885
mow,blok,Muziekbos,20220617,4,17,1.25-2.5,0.01063738743464152
mow,blok,Muziekbos,20220617,4,18,1.25-2.5,0.002703634125369412
mow,blok,Muziekbos,20220617,4,19,1.25-2.5,0.003623046633246895
mow,blok,Muziekbos,20220617,5,10,1.25-2.5,0.0016446595230858365
mow,blok,Muziekbos,20220617,5,11,1.25-2.5,0.003740952648482956
mow,blok,Muziekbos,20220617,5,12,1.25-2.5,0.002411057051523026
mow,blok,Muziekbos,20220617,5,13,1.25-2.5,0.0031428781672791168
mow,blok,Muziekbos,20220617,5,14,1.25-2.5,0.0032881563693493397
mow,blok,Muziekbos,20220617,5,15,1.25-2.5,0.0033211911613846715
mow,blok,Muziekbos,20220617,5,16,1.25-2.5,0.004365641281599209
mow,blok,Muziekbos,20220617,5,17,1.25-2.5,0.00968253735895757
mow,blok,Muziekbos,20220617,5,18,1.25-2.5,0.005037935277520915
mow,blok,Muziekbos,20220617,5,19,1.25-2.5,0.002881269474407454
