,index,Datum,Periode,Locatie,Site,Transect,Soortengroep,Aantal,Genus,Lat,Lon,Nauwkeurigheid,Meettoestel,Jaar,geometry,Mowing state,mow_shape_key,Group name,Afstand_rand
1,1,2020-04-07,p1,Muziekbos,blok,V,Bijen,1,Andrena,50.769351795363,3.65615674294872,10,GSM,2020,POINT (99733.14458537275 162336.1219273461),,,Other bees,
2,2,2020-04-07,p1,Muziekbos,blok,V,Bijen,1,Andrena,50.7694274001296,3.65584912710232,30,GSM,2020,POINT (99711.52650443786 162344.73979146127),,,Other bees,
3,3,2020-04-07,p1,Muziekbos,blok,V,Bijen,1,Andrena,50.7695902185987,3.6561870854382,30,GSM,2020,POINT (99735.53916850651 162362.62201917265),,,Other bees,
4,4,2020-04-07,p1,Muziekbos,blok,V,Bijen,1,Bombus,50.7693629013847,3.65636142902417,10,GSM,2020,POINT (99747.59466844378 162337.21887234133),,,Bombus,
5,5,2020-04-07,p1,Muziekbos,blok,V,Bijen,1,Andrena,50.7695285697009,3.65669544786555,5,GSM,2020,POINT (99771.33239399514 162355.4209255129),,,Other bees,
6,6,2020-04-07,p1,Muziekbos,blok,V,Bijen,1,Bombus,50.7692333171617,3.65661137737674,10,GSM,2020,POINT (99765.08752324726 162322.6358176684),,,Bombus,
16,16,2020-04-07,p1,Muziekbos,sinus,V,Bijen,1,Andrena,50.7686420996215,3.65495360456747,5,GSM,2020,POINT (99647.51887898738 162257.9945246484),,,Other bees,
17,17,2020-04-07,p1,Muziekbos,sinus,V,Bijen,1,Andrena,50.7686420996215,3.65495360456747,5,GSM,2020,POINT (99647.51887898738 162257.9945246484),,,Other bees,
18,18,2020-04-07,p1,Muziekbos,sinus,V,Bijen,1,Nomada,50.7686420996215,3.65495360456747,5,GSM,2020,POINT (99647.51887898738 162257.9945246484),,,Other bees,
19,19,2020-04-07,p1,Muziekbos,sinus,V,Bijen,1,Andrena,50.7682872517507,3.6555065587197,10,GSM,2020,POINT (99686.14520414254 162218.14915391523),,,Other bees,
20,20,2020-04-07,p1,Muziekbos,sinus,V,Dagvlinders,1,Pieris,50.768591933931,3.65566053428096,5,GSM,2020,POINT (99697.33182235918 162251.9357352117),,,Butterflies,
21,21,2020-04-07,p1,Muziekbos,sinus,V,Bijen,1,Apis,50.7684495253961,3.6557140108232,10,GSM,2020,POINT (99700.9520613256 162236.05897093937),,,Apis,
22,22,2020-04-07,p1,Muziekbos,sinus,V,Bijen,1,Andrena,50.7686211867731,3.65557176992638,10,GSM,2020,POINT (99691.10164457987 162255.2497058846),,,Other bees,
23,23,2020-04-07,p1,Muziekbos,sinus,V,Bijen,1,Nomada,50.7686648564886,3.65561476908965,10,GSM,2020,POINT (99694.18139613527 162260.07812784053),,,Other bees,
26,26,2020-04-07,p1,Muziekbos,blok,V,Bijen,1,Andrena,50.7695799088578,3.65582347847862,10,GSM,2020,POINT (99709.8800214605 162361.72120066825),,,Other bees,
32,32,2020-04-07,p1,Muziekbos,blok,V,Bijen,1,Andrena,50.7692791242625,3.65615146234972,10,GSM,2020,POINT (99732.69459482424 162328.04204989783),,,Other bees,
36,36,2020-04-07,p1,Muziekbos,blok,V,Bijen,1,Andrena,50.7692142902415,3.65629102103753,30,GSM,2020,POINT (99742.46973247873 162320.73596656043),,,Other bees,
37,37,2020-04-07,p1,Muziekbos,blok,V,Bijen,1,Andrena,50.7692398131367,3.65660483949227,5,GSM,2020,POINT (99764.63327340157 162323.36280561704),,,Other bees,
54,54,2020-04-09,p1,Kemmelberg,blok,V,Bijen,1,Apis,50.7773928903516,2.79664940201007,100,GSM,2020,POINT (39128.46594577505 164162.59760744125),,,Apis,
55,55,2020-04-09,p1,Kemmelberg,blok,V,Dagvlinders,1,Anthocharis,50.7778896857526,2.79700135812424,50,GSM,2020,POINT (39154.452930894346 164217.32285189442),,,Butterflies,
56,56,2020-04-09,p1,Kemmelberg,blok,V,Bijen,1,Apis,50.7784962002661,2.79722146690152,100,GSM,2020,POINT (39171.40071063167 164284.44721474499),,,Apis,
57,57,2020-04-09,p1,Kemmelberg,blok,V,Bijen,1,Apis,50.778662581044,2.79742640443407,50,GSM,2020,POINT (39186.24277982321 164302.64531808347),,,Apis,
58,58,2020-04-09,p1,Kemmelberg,blok,V,Bijen,1,Apis,50.7782442402567,2.79686305672191,100,GSM,2020,POINT (39145.53537878745 164256.96057989914),,,Apis,
59,59,2020-04-09,p1,Kemmelberg,blok,V,Bijen,1,Apis,50.7781413943048,2.79701644554995,50,GSM,2020,POINT (39156.109178587954 164245.2937999945),,,Apis,
60,60,2020-04-09,p1,Kemmelberg,blok,V,Dagvlinders,1,Anthocharis,50.7775171939756,2.7967237494912,30,GSM,2020,POINT (39134.00107188395 164176.310917479),,,Butterflies,
61,61,2020-04-09,p1,Kemmelberg,blok,V,Dagvlinders,1,Anthocharis,50.7775171939756,2.7967237494912,30,GSM,2020,POINT (39134.00107188395 164176.310917479),,,Butterflies,
62,62,2020-04-09,p1,Kemmelberg,blok,V,Bijen,1,Apis,50.7775603188675,2.79657036066316,10,GSM,2020,POINT (39123.28658357535 164181.33593661897),,,Apis,
63,63,2020-04-09,p1,Kemmelberg,blok,V,Bijen,1,Apis,50.7781635225292,2.79638788663111,50,GSM,2020,POINT (39111.83986546332 164248.69286253303),,,Apis,
64,64,2020-04-09,p1,Kemmelberg,blok,V,Bijen,1,Apis,50.7836648170378,2.76731324382384,100,GSM,2020,POINT (37074.908663097376 164904.3106740443),,,Apis,
65,65,2020-04-09,p1,Kemmelberg,blok,V,Bijen,1,Andrena,50.7768951729413,2.79558515176437,50,GSM,2020,POINT (39052.249138769796 164108.8335722508),,,Other bees,
66,66,2020-04-09,p1,Kemmelberg,blok,V,Bijen,1,Apis,50.7768698595937,2.79559914954267,50,GSM,2020,POINT (39053.176558605526 164105.99747453164),,,Apis,
67,67,2020-04-09,p1,Kemmelberg,blok,V,Bijen,1,Apis,50.7771170000087,2.79532246291898,10,GSM,2020,POINT (39034.24836865418 164133.89615657832),,,Apis,
80,80,2020-04-09,p1,Kemmelberg,sinus,V,Bijen,1,Apis,50.7727151597392,2.79780719429515,10,GSM,2020,POINT (39199.103056105014 163640.64234244544),,,Apis,
81,81,2020-04-09,p1,Kemmelberg,sinus,V,Dagvlinders,1,Pieris,50.7729124697398,2.7979999780681,5,GSM,2020,POINT (39213.162409788245 163662.2983763665),,,Butterflies,
82,82,2020-04-09,p1,Kemmelberg,sinus,V,Bijen,1,Apis,50.7728164969485,2.79806728475056,50,GSM,2020,POINT (39217.683200506784 163651.52451109793),,,Apis,
83,83,2020-04-09,p1,Kemmelberg,sinus,V,Dagvlinders,1,Polyommatus,50.7728229929235,2.79797491617761,30,GSM,2020,POINT (39211.18457883422 163652.3847086383),,,Butterflies,
84,84,2020-04-09,p1,Kemmelberg,sinus,V,Bijen,1,Apis,50.7728380803492,2.79796142131351,50,GSM,2020,POINT (39210.2683974064 163654.0827632062),,,Apis,
85,85,2020-04-09,p1,Kemmelberg,sinus,V,Dagvlinders,1,Gonepteryx,50.7732298085939,2.79701175168417,50,GSM,2020,POINT (39144.2189495426 163699.0650855275),,,Butterflies,
